id,item,store_type
,Milk,supermarket
,Bread,bakery
,Toothpaste,drugstore
,Bananas,supermarket
,Sunglasses,clothing_store
,Hammer,hardware_store
,Notebook,stationery_store
,Shampoo,beauty_salon
,Pizza,convenience_store
,Candles,home_goods_store
,Screwdriver,hardware_store
,Socks,clothing_store
,Laptop,electronics_store
,Coffee,cafe
,Dog Food,pet_store
,Wine,liquor_store
,Car Battery,car_repair
,T-shirt,clothing_store
,Headphones,electronics_store
,Gasoline,gas_station
,Earrings,jewelry_store
,Fertilizer,garden_center
,Flashlight,hardware_store
,Cupcakes,bakery
,Printer,electronics_store
,Running Shoes,shoe_store
,Apples,supermarket
,Dog Shampoo,pet_store
,Camera,electronics_store
,Couch,furniture_store
,Fishing Rod,sporting_goods_store
,Alarm Clock,department_store
,Umbrella,department_store
,Pen,stationery_store
,Hair Dryer,hair_care
,Wallet,department_store
,Book,book_store
,Tyres,auto_parts_store
,Light Bulbs,home_goods_store
,Pasta,supermarket
,Phone Charger,electronics_store
,Fish Food,pet_store
,Backpack,department_store
,Towel,home_goods_store
,Ice Cream,convenience_store
,Car Wash Soap,car_wash
,Lotion,beauty_salon
,Juice,supermarket
,Printer Paper,office_supply_store
,Laptop Bag,electronics_store
,Vase,florist
,Paint,home_goods_store
,Pet Bed,pet_store
,Pencil,stationery_store
,Candy,convenience_store
,DVD Player,electronics_store
,Sunscreen,drugstore
,Handbag,department_store
,Steak,supermarket
,Carrot,supermarket
,Running Shorts,clothing_store
,Razor,drugstore
,Yogurt,supermarket
,Soccer Ball,sporting_goods_store
,Lipstick,beauty_salon
,Flash Drive,electronics_store
,Chicken,supermarket
,Printer Ink,office_supply_store
,Sandals,shoe_store
,Tea,supermarket
,Pillow,home_goods_store
,Screwdriver Set,hardware_store
,Movie DVD,electronics_store
,Cat Food,pet_store
,Sunflower Seeds,garden_center
,Scissors,office_supply_store
,Grill,home_goods_store
,Tennis Shoes,sporting_goods_store
,Back Massager,health_food_store
,Laptop Stand,electronics_store
,BBQ Sauce,convenience_store
,Fishing Hooks,sporting_goods_store
,Cologne,beauty_salon
,Art Supplies,art_supply_store
,Air Freshener,convenience_store
,Printer Cable,electronics_store
,Baby Diapers,drugstore
,Alarm System,electronics_store
,Tennis Racket,sporting_goods_store
,Washing Machine,appliance_store
,Map,travel_store
,Plunger,home_goods_store
,Puzzle,toy_store
,Running Hat,clothing_store
,Carrot Cake,bakery
,USB Hub,electronics_store
,Golf Balls,sporting_goods_store
,Waffle Maker,home_goods_store
,Hiking Boots,shoe_store
,Toilet Paper,convenience_store
,Grass Seed,garden_center
,Toothbrush,drugstore
,Cookie Mix,supermarket
,Dumbbells,sporting_goods_store
,Curtains,home_goods_store
,Luggage,travel_store
,Cat Litter,pet_store
,Bike Helmet,bicycle_store
,Dish Soap,supermarket
,Popcorn,convenience_store
,Paintbrush,art_supply_store
,Gift Card,department_store
,Pasta Sauce,supermarket
,Car Air Freshener,auto_parts_store
,Tape,office_supply_store
,Diabetes Test Kit,drugstore
,Kettle,home_goods_store
,Desk Chair,furniture_store
,Sleeping Bag,sporting_goods_store
,Plant,home_goods_store
,Wristwatch,jewelry_store
