item,store_type
Milk,supermarket
Bread,bakery
Toothpaste,drugstore
Bananas,supermarket
Sunglasses,clothing_store
Hammer,hardware_store
Shampoo,beauty_salon
Pizza,convenience_store
Candles,home_goods_store
Screwdriver,hardware_store
Socks,clothing_store
Laptop,electronics_store
Coffee,cafe
Dog Food,pet_store
Wine,liquor_store
Car Battery,car_repair
T-shirt,clothing_store
Headphones,electronics_store
Gasoline,gas_station
Earrings,jewelry_store
Flashlight,hardware_store
Cupcakes,bakery
Printer,electronics_store
Running Shoes,shoe_store
Apples,supermarket
Dog Shampoo,pet_store
Camera,electronics_store
Couch,furniture_store
Alarm Clock,department_store
Umbrella,department_store
Hair Dryer,hair_care
Wallet,department_store
Book,book_store
Light Bulbs,home_goods_store
Pasta,supermarket
Phone Charger,electronics_store
Fish Food,pet_store
Backpack,department_store
Towel,home_goods_store
Ice Cream,convenience_store
Car Wash Soap,car_wash
Lotion,beauty_salon
Juice,supermarket
Laptop Bag,electronics_store
Vase,florist
Paint,home_goods_store
Pet Bed,pet_store
Candy,convenience_store
DVD Player,electronics_store
Sunscreen,drugstore
Handbag,department_store
Steak,supermarket
Carrot,supermarket
Running Shorts,clothing_store
Razor,drugstore
Yogurt,supermarket
Lipstick,beauty_salon
Flash Drive,electronics_store
Chicken,supermarket
Sandals,shoe_store
Tea,supermarket
Pillow,home_goods_store
Screwdriver Set,hardware_store
Movie DVD,electronics_store
Cat Food,pet_store
Grill,home_goods_store
Laptop Stand,electronics_store
BBQ Sauce,convenience_store
Cologne,beauty_salon
Air Freshener,convenience_store
Printer Cable,electronics_store
Baby Diapers,drugstore
Alarm System,electronics_store
Plunger,home_goods_store
Running Hat,clothing_store
Carrot Cake,bakery
USB Hub,electronics_store
Waffle Maker,home_goods_store
Hiking Boots,shoe_store
Toilet Paper,convenience_store
Toothbrush,drugstore
Cookie Mix,supermarket
Curtains,home_goods_store
Cat Litter,pet_store
Bike Helmet,bicycle_store
Dish Soap,supermarket
Popcorn,convenience_store
Gift Card,department_store
Pasta Sauce,supermarket
Diabetes Test Kit,drugstore
Kettle,home_goods_store
Desk Chair,furniture_store
Plant,home_goods_store
Wristwatch,jewelry_store
Running Jacket,clothing_store
Paper Towels,supermarket
Sun Hat,clothing_store
Bluetooth Speaker,electronics_store
Dental Floss,drugstore
Hand Mixer,home_goods_store
Coffee Maker,home_goods_store
Mirror,home_goods_store
Swimsuit,clothing_store
Hand Sanitizer,drugstore
Dog Leash,pet_store
Printer Scanner,electronics_store
Backpack Cooler,department_store
Soy Sauce,supermarket
Toilet Bowl Cleaner,home_goods_store
Wine Glasses,home_goods_store
Hiking Backpack,department_store
Smart Thermostat,electronics_store
Bike Lock,bicycle_store
Hair Clippers,beauty_salon
Pet Toys,pet_store
Electric Toothbrush,drugstore
Sneakers,shoe_store
Window Cleaner,home_goods_store
Cooking Oil,supermarket
Tennis Shorts,clothing_store
Baby Wipes,supermarket
HDMI Cable,electronics_store
Bike Pump,bicycle_store
Portable Charger,electronics_store
Laptop Sleeve,electronics_store
Gift Wrap,department_store
Hair Straightener,beauty_salon
Coffee Grinder,home_goods_store
Pet Grooming Kit,pet_store
Carpet Cleaner,home_goods_store
Blender,home_goods_store
Coffee Filters,supermarket
milk,supermarket
bread,bakery
toothpaste,drugstore
jeans,clothing_store
coffee,cafe
tire_car,car_repair
shampoo,beauty_salon
screwdriver,hardware_store
dog_food,pet_store
novel,book_store
beer,liquor_store
flower_arrangement,florist
laptop,electronics_store
pizza,convenience_store
gasoline,gas_station
necklace,jewelry_store
atm_machine,atm
cat_litter,pet_store
camera,electronics_store
sunglasses,clothing_store
orange_juice,supermarket
hammer,hardware_store
wallet,department_store
candle,home_goods_store
sneakers,shoe_store
cereal,supermarket
rose_flowers,florist
notebook,book_store
wine,liquor_store
chocolate,convenience_store
car_battery,car_repair
hair_dryer,beauty_salon
bed_frame,furniture_store
t-shirt,clothing_store
gas_can,gas_station
phone_case,electronics_store
cheese,supermarket
apple,supermarket
soap,drugstore
tuna_can,convenience_store
towel,home_goods_store
puzzle,book_store
ice_cream,supermarket
bike_lock,bicycle_store
lipstick,beauty_salon
grill,home_goods_store
pillow,home_goods_store
printer,electronics_store
wine_glasses,home_goods_store
flashlight,hardware_store
soda,convenience_store
sweater,clothing_store
sunscreen,drugstore
mirror,furniture_store
laptop_bag,electronics_store
steak,supermarket
vacuum_cleaner,home_goods_store
dog_leash,pet_store
cookie,convenience_store
baby_clothes,department_store
tire_bike,bicycle_store
hat,clothing_store
toilet_paper,supermarket
plunger,home_goods_store
garden_tools,hardware_store
dog_shampoo,pet_store
shaving_cream,drugstore
yogurt,supermarket
screwdriver_set,hardware_store
flash_drive,electronics_store
cat_toy,pet_store
diapers,supermarket
nail_polish,beauty_salon
orange,supermarket
wrench,hardware_store
alarm_clock,electronics_store
baby_formula,pharmacy
backpack,department_store
couch,furniture_store
tea,supermarket
paint_brush,home_goods_store
mouse,electronics_store
luggage,department_store
running_shoes,shoe_store
sweatshirt,clothing_store
air_freshener,convenience_store
headphones,electronics_store
printer_cable,electronics_store
coffee_mug,home_goods_store
toothbrush,drugstore
garden_hose,home_goods_store
soap_dispenser,home_goods_store
baby_wipes,supermarket
picture_frame,home_goods_store
umbrella,department_store
potato_chips,convenience_store
bicycle_helmet,bicycle_store
candles,home_goods_store
cookie_jar,home_goods_store
tool_set,hardware_store
swimsuit,clothing_store
bike_pump,bicycle_store
screwdriver_kit,hardware_store
paint,home_goods_store
paper_towels,supermarket
toothpicks,convenience_store
baby_powder,drugstore
plastic_wrap,home_goods_store
baby_bottle,pharmacy
baby_shampoo,beauty_salon
fire_extinguisher,hardware_store
alarm_system,electronics_store
hair_brush,beauty_salon
pet_food,pet_store
bath_towels,home_goods_store
sun_hat,clothing_store
carrot,supermarket
tissue_paper,supermarket
bicycle_lock,bicycle_store
dog_treats,pet_store
pasta,supermarket
baby_wipes,drugstore
bike_chain,bicycle_store
sweatpants,clothing_store
lip_balm,beauty_salon
rice,supermarket
bike_basket,bicycle_store
shoe_polish,shoe_store
cat_food,pet_store
hiking_boots,shoe_store
baby_lotion,pharmacy
cat_treats,pet_store
beach_towel,home_goods_store
puzzle_book,book_store
air_freshener,home_goods_store
granola_bars,convenience_store
coffee_table,furniture_store
dog_collar,pet_store
hair_curler,beauty_salon
blanket,home_goods_store
bike_light,bicycle_store
sneakers,clothing_store
perfume,beauty_salon
artificial_plant,home_goods_store
canvas_sneakers,clothing_store
lawn_mower,home_goods_store
pasta_sauce,supermarket
printer_scanner,electronics_store
baby_cot,furniture_store
screw,hardware_store
baby_high_chair,furniture_store
photo_frame,home_goods_store
baby_wipes,pharmacy
bike_bell,bicycle_store
