,item,store_type
0,Milk,supermarket
1,Bread,bakery
2,Toothpaste,drugstore
3,Bananas,supermarket
4,Sunglasses,clothing_store
5,Hammer,hardware_store
7,Shampoo,beauty_salon
8,Pizza,convenience_store
9,Candles,home_goods_store
10,Screwdriver,hardware_store
11,Socks,clothing_store
12,Laptop,electronics_store
13,Coffee,cafe
14,Dog Food,pet_store
15,Wine,liquor_store
16,Car Battery,car_repair
17,T-shirt,clothing_store
18,Headphones,electronics_store
19,Gasoline,gas_station
20,Earrings,jewelry_store
22,Flashlight,hardware_store
23,Cupcakes,bakery
24,Printer,electronics_store
25,Running Shoes,shoe_store
26,Apples,supermarket
27,Dog Shampoo,pet_store
28,Camera,electronics_store
29,Couch,furniture_store
31,Alarm Clock,department_store
32,Umbrella,department_store
34,Hair Dryer,hair_care
35,Wallet,department_store
36,Book,book_store
38,Light Bulbs,home_goods_store
39,Pasta,supermarket
40,Phone Charger,electronics_store
41,Fish Food,pet_store
42,Backpack,department_store
43,Towel,home_goods_store
44,Ice Cream,convenience_store
45,Car Wash Soap,car_wash
46,Lotion,beauty_salon
47,Juice,supermarket
49,Laptop Bag,electronics_store
50,Vase,florist
51,Paint,home_goods_store
52,Pet Bed,pet_store
54,Candy,convenience_store
55,DVD Player,electronics_store
56,Sunscreen,drugstore
57,Handbag,department_store
58,Steak,supermarket
59,Carrot,supermarket
60,Running Shorts,clothing_store
61,Razor,drugstore
62,Yogurt,supermarket
64,Lipstick,beauty_salon
65,Flash Drive,electronics_store
66,Chicken,supermarket
68,Sandals,shoe_store
69,Tea,supermarket
70,Pillow,home_goods_store
71,Screwdriver Set,hardware_store
72,Movie DVD,electronics_store
73,Cat Food,pet_store
76,Grill,home_goods_store
79,Laptop Stand,electronics_store
80,BBQ Sauce,convenience_store
82,Cologne,beauty_salon
84,Air Freshener,convenience_store
85,Printer Cable,electronics_store
86,Baby Diapers,drugstore
87,Alarm System,electronics_store
91,Plunger,home_goods_store
93,Running Hat,clothing_store
94,Carrot Cake,bakery
95,USB Hub,electronics_store
97,Waffle Maker,home_goods_store
